Organization_ID,Organization_Name
333JUGGLERS_01,333Jugglers
AI_SPHERE_01,AI Sphere
AI_STU_COLLECTIVE_UC_SAN_DIEGO_01,AI Student Collective @ UC San Diego
ACAMAZING_01,Acamazing
ACTS_2_FELLOWSHIP_A2F_01,Acts 2 Fellowship (A2F)
AEQUORA_BALLET_COMPANY_01,Aequora Ballet Company
AFGHAN_STU_ASSOC_ASA_01,Afghan Student Association (ASA)
AHLULBAYT_STU_ASSOC_01,Ahlul-Bayt Student Association
ALPHA_EPSILON_DELTA_PREHEALTH__01,Alpha Epsilon Delta Pre-Health Professional Honor Society
ALPHA_KAPPA_PSI_01,Alpha Kappa Psi
ALPHA_LAMBDA_MU_01,Alpha Lambda Mu
ALPHA_MIRACLE_FOUNDATION_AMF_U_01,Alpha Miracle Foundation (AMF) @ UC San Diego
ALTER_EGO_DANCE_01,Alter Ego Dance
ALZHEIMERS_FOUNDATION_OF_AMERI_01,Alzheimer's Foundation of America on Campus
AMATEUR_RADIO_CLUB_AT_UC_SAN_D_01,Amateur Radio Club at UC San Diego (KK6UC)
AMERICAN_CHEMICAL_SOCIETY_STU__01,American Chemical Society Student Affiliates (ACSSA)
AMERICAN_INSTITUTE_OF_AERONAUT_01,American Institute of Aeronautics and Astronautics
AMERICAN_INSTITUTE_OF_CHEMICAL_01,American Institute of Chemical Engineers (AIChE)
AMERICAN_MEDICAL_STU_ASSOC_01,American Medical Student Association
AMERICAN_MEDICAL_WOMENS_ASSOC_01,American Medical Women's Association
AMERICAN_SOCIETY_OF_MECHANICAL_01,American Society of Mechanical Engineers @UC San Diego
ANIMATION_CLUB_01,Animation Club
ANIME_MANGA_ENTHUSIASTS_AT_UC__01,Anime & Manga Enthusiasts at UC San Diego
ARCHITECTURE_AT_UC_SAN_DIEGO_01,Architecture at UC San Diego
ARMENIAN_ENGINEERS_AND_SCIENTI_01,Armenian Engineers and Scientists Association @ UC San Diego
ARMENIAN_STU_ASSOC_01,Armenian Student Association
ARTSPARK_01,ArtSpark
ASCENSION_COMPETITIVE_DANCE_TE_01,Ascension Competitive Dance Team
ASIAN_AMERICAN_CHRISTIAN_FELLO_01,Asian American Christian Fellowship
ASIAN_BUSINESS_ASSOC_UC_SAN_DI_01,Asian Business Association @ UC San Diego
ASIAN_AND_PACIFIC_ISLANDER_STU_01,Asian and Pacific Islander Student Alliance (APSA)
ASIANS_PACIFIC_ISLANDERS_FOR_T_01,Asians & Pacific Islanders for the Arts and Humanities (APIAH)
ASSOC_FOR_COMP_MACHINERY_ACM_01,Association for Computing Machinery (ACM)
BRASA_01,BRASA
BURSABURMESE_STUS_ASSOC_01,BURSA(Burmese Students Association)
BANGALI_STU_ASSOC_01,Bangali Student Association
BANGLADESHI_STU_ASSOC_01,Bangladeshi Student Association
BEAT_UC_SAN_DIEGO_THE_01,"Beat @ UC San Diego, The"
BEAUTIFUL_MIND_PROJECT_UC_SAN__01,Beautiful Mind Project @ UC San Diego
BETA_ALPHA_PSI_01,Beta Alpha Psi
BETTY_BOARDERS_01,Betty Boarders
BIG_BRAIN_ENERGY_CLUB_01,Big Brain Energy Club
BIOLOGICAL_SCIS_STU_ASSOC_01,Biological Sciences Student Association
BIOMEDICAL_ENG_SOCIETY_BMES_01,Biomedical Engineering Society (BMES)
BLACK_PREMEDICAL_SOCIETY_AT_UC_01,Black Pre-Medical Society at UC San Diego
BLEEDING_HEARTS_POETRY_COLLECT_01,Bleeding Hearts Poetry Collective
BOARDGAMES_AND_BOBA_UC_SAN_DIE_01,Boardgames and Boba @ UC San Diego
BRAIN_EXERCISE_INITIATIVE_THE_01,"Brain Exercise Initiative, The"
BRAIN_HUB_01,Brain Hub
BREAKIN_CLUB_BODY_ROCK_01,Breakin' Club- Body Rock
BRIDGING_THE_GAP_01,Bridging the Gap
BUSINESS_COUNCIL_01,Business Council
CAMP_KESEM_01,Camp Kesem
CANTONESE_CULTURE_CLUB_01,Cantonese Culture Club
CARE_2_SHARE_01,Care 2 Share
CARE2SHARE_AT_UC_SAN_DIEGO_01,Care2Share at UC San Diego
CATALYST_AT_UC_SAN_DIEGO_01,Catalyst at UC San Diego
CATHOLIC_COMMUNITY_NEWMAN_CENT_01,Catholic Community - Newman Center Parish
CHANCELLORS_SCHOLARS_ALLIANCE_01,Chancellor's Scholars Alliance
CHEESE_CLUB_01,Cheese Club
CHEMECAR_PROJECT_01,Chem-E-Car Project
CHI_OMEGA_01,Chi Omega
CHINESE_DRAMA_CLUB_01,Chinese Drama Club
CHINESE_ENG_SOCIETY_01,Chinese Engineering Society
CHINESE_GLOBAL_COMMUNITY_01,Chinese Global Community
CHINESE_STUS_AND_SCHOLARS_ASSO_01,Chinese Students and Scholars Association
CHINESE_UNION_01,Chinese Union
CIRCLE_K_INTERNATIONAL_01,Circle K. International
COGNITIVE_SCI_STU_ASSOC_01,Cognitive Science Student Association
COLLEGES_AGAINST_CANCER_01,Colleges Against Cancer
COMFORT_TONE_01,Comfort Tone
COMPANY_157_01,Company 157
COMPUTER_SCI_AND_ENG_SOCIETY_01,Computer Science and Engineering Society
CORNERSTONE_COMMUNITY_CONSULTA_01,Cornerstone Community Consultants at UC San Diego
DATA_SCI_STU_SOCIETY_01,Data Science Student Society
DAUGHTERS_OF_TRITON_01,Daughters of Triton
DEEJAYS_AND_VINYLPHILES_CLUB_01,Deejays and Vinylphiles Club
DELTA_GAMMA_01,Delta Gamma
DELTA_SIGMA_PI_01,Delta Sigma Pi
DESIGN_CO_01,Design Co
DOCTORS_WITHOUT_BORDERS_CHAPTE_01,Doctors Without Borders Chapter @ UC San Diego
DRAG_CLUB_UC_SAN_DIEGO_01,Drag Club @ UC San Diego
DULY_NOTED_01,Duly Noted
ECE_EVENT_COLLABORATION_BOARD_01,ECE Event Collaboration Board
ECE_UNDERGRADUATE_STU_COUNCIL_01,ECE Undergraduate Student Council
ECLIPSE_ANALYTICS_UC_SAN_DIEGO_01,Eclipse Analytics @ UC San Diego
ECOLOGY_BEHAVIOR_AND_EVOLUTION_01,"Ecology, Behavior and Evolution Club at UC San Diego"
EMERGENCY_MEDICAL_SERVICES_AT__01,Emergency Medical Services at UC San Diego
ENG_INNOVATORS_ENTREPRENEURS_C_01,Engineering Innovators & Entrepreneurs Club @UC San Diego
ENG_WORLD_HEALTH_01,Engineering World Health
