FIN-ID #,ORGANIZATION,NAME OF EVENT,DATE,VENUE,AWARDED,TRANSACTION ID,UPDATED
23804,Muslim Student Association,Welcome Back Dinner,09/22/2025 12:00 AM,Multi Purpose Room SSC,$999.14,,5/29/2025 12:16:50 AM
24049,Redeemer’s Grace Church on Campus at UC San Diego,RGC Welcome Week Event 1,09/23/2025 12:00 AM,Stud. Services Cntr - Multi Purpose Room,$786.51,,6/19/2025 12:39:09 PM
23890,Sports Medicine Association at UC San Diego,GBM #1 - Fall 25,09/24/2025 12:00 AM,Price Center - Red Shoe Room,$216.58,,5/30/2025 1:39:48 PM
24045,Muslim Student Association,Welcome Lunch,09/24/2025 12:00 AM,PC Red Shoe Room,$320.42,,6/17/2025 7:46:35 PM
24056,Redeemer’s Grace Church on Campus at UC San Diego,RGC Welcome Week Event 2,09/24/2025 12:00 AM,Stud. Services Cntr - Multi Purpose Room,$570.48,,6/19/2025 1:17:08 PM
23787,Interfraternity Council,SummerFest,09/25/2025 12:00 AM,Matthew's Quad and Town Square,"$4,829.71",,5/30/2025 10:03:34 AM
23931,Muslim Tech Collaborative at UC San Diego,MTC Welcome Back Social,09/25/2025 12:00 AM,Price Center Warren College Room,$398.56,,5/30/2025 4:57:39 PM
24051,Asian American Christian Fellowship,Week 0 Game Night,09/25/2025 12:00 AM,Student Center Courtyard,$407.30,,6/20/2025 5:55:24 PM
24054,Redeemer’s Grace Church on Campus at UC San Diego,RGC Welcome Week Event 3,09/25/2025 12:00 AM,Stud. Services Cntr - Multi Purpose Room,$810.74,,6/19/2025 1:06:37 PM
23663,Chinese Global Community,Welcome Ceremony,09/26/2025 12:00 AM,Mandeville Auditorium,"$5,000.00",,5/1/2025 11:14:11 PM
23905,Triton A Cappella Community,Kaden Cho,09/27/2025 12:00 AM,Price Center Theater,$525.00,,5/30/2025 2:27:59 PM
24021,Saudi Students Association @ UC San Diego,Saudi National Day,09/27/2025 12:00 AM,Price Center Forum,$799.96,,5/30/2025 11:48:12 PM
24053,Redeemer’s Grace Church on Campus at UC San Diego,RGC Welcome Week Event 4,09/27/2025 12:00 AM,Non-Athletics Outdoor Events - Sun God Lawn,$400.00,,6/19/2025 12:45:05 PM
23803,Acts 2 Fellowship (A2F),A2F Presents: New Student Welcome Night,09/28/2025 12:00 AM,Price Center East | Ballroom,"$2,000.00",,5/30/2025 7:56:03 PM
23760,Circle K. International,GBM # 1,09/29/2025 12:00 AM,Forum,$219.65,,5/23/2025 6:19:31 PM
23852,Chinese Union,UC San Diego Chinese Union Opening Ceremony,09/29/2025 12:00 AM,Epstein Family Amphitheater,"$5,000.00",,5/30/2025 1:37:31 PM
24002,Association for Computing Machinery (ACM),Fall Kickoff,09/29/2025 12:00 AM,PC West Ballroom,"$4,276.59",,5/30/2025 11:34:37 PM
23834,Multicultural Greek Council,MGC Fall Informational Night 2025,09/30/2025 12:00 AM,Price Center WestBallroom B,$497.71,,5/30/2025 6:51:20 PM
23835,Pre-Pharmacy Society @ UC San Diego,Meet the Board Game Night,09/30/2025 12:00 AM,Price Center Marshall Room,$459.35,,5/29/2025 6:58:44 PM
23885,Institute of Electrical and Electronics Engineers (IEEE),IEEE Fall GBM,09/30/2025 12:00 AM,The Forum,"$1,200.00",,5/30/2025 1:29:12 PM
23910,ArtSpark,Zine Social,09/30/2025 12:00 AM,Red Shoe Room,$386.87,,5/30/2025 5:16:16 PM
24007,Association for Computing Machinery (ACM),Summer Projects Showcase,09/30/2025 12:00 AM,CSE 1202,$592.62,,5/30/2025 11:38:32 PM
24023,Redeemer’s Grace Church on Campus at UC San Diego,RGC Welcome Week Event 7,09/30/2025 12:00 AM,Price Center - Ballroom | East,$579.90,,5/30/2025 11:51:37 PM
24043,Multicultural Greek Council,MGC Fall Informational Night 2025,09/30/2025 12:00 AM,Price Center WestBallroom B,$275.00,,6/17/2025 5:46:17 PM
* 24076,Project in a Box,Fall GBM,10/01/2025 12:00 AM,EBU 3rd floor Patio,$300.00,,6/20/2025 8:25:34 PM
23756,Triton Engineering Student Council,TESC Intro Night,10/01/2025 12:00 AM,Qualcomm Conference Center,$600.00,,5/22/2025 4:24:41 PM
23781,Triton Brain Injury Network,GBM #1,10/01/2025 12:00 AM,Price Center Bear Room,$216.58,,5/27/2025 10:34:36 PM
23785,American Institute of Chemical Engineers (AIChE),AIChE Fall GBM,10/01/2025 12:00 AM,Price Center Red Shoe Room,$323.25,,5/30/2025 10:06:51 AM
23827,Mixed Student Union,Mixed Student Union GBM 1,10/01/2025 12:00 AM,Cross Cultural Center,$203.49,,5/30/2025 4:26:44 PM
23846,Poker Club,Poker Club GBM,10/01/2025 12:00 AM,Warren College Room,$398.98,,5/29/2025 8:56:53 PM
23853,Biomedical Engineering Society (BMES),Wing Wednesday #1(Medtronic),10/01/2025 12:00 AM,Fung Auditorium,$269.38,,5/30/2025 11:38:21 PM
23867,Biomedical Engineering Society (BMES),BMES Fall GBM 1,10/01/2025 12:00 AM,Fung Auditorium,$72.22,,5/30/2025 11:47:10 PM
23896,Institute of Electrical and Electronics Engineers (IEEE),RoboCup Info Session,10/01/2025 12:00 AM,Henry Booker Room,$377.13,,5/30/2025 1:52:12 PM
23914,333Jugglers,Russian Balls workshop,10/01/2025 12:00 AM,Thich Nhat Hanh,$25.99,,5/30/2025 3:25:05 PM
23956,Triton Gaming,Triton Gaming Fall GBM 2025,10/01/2025 12:00 AM,Stage Patio - Old Student Center,$263.74,,5/30/2025 9:27:00 PM
24013,Association for Computing Machinery (ACM),Resume Review,10/01/2025 12:00 AM,Henry Booker Room,$592.62,,5/30/2025 11:42:17 PM
24031,Brain Hub,Brain Hub GBM #1: Welcome!,10/01/2025 12:00 AM,Price Center Marshall Room,$153.30,,6/5/2025 5:30:10 PM
24037,Alpha Lambda Mu,ALM Welcome Dinner,10/01/2025 12:00 AM,Dolores Huerta,$301.69,,6/13/2025 1:10:51 AM
24040,American Chemical Society Student Affiliates (ACSSA),Week 1 GBM,10/01/2025 12:00 AM,Natural Sciences Building - Atrium,$301.70,,6/16/2025 1:02:20 PM
23754,Engineers Without Borders at UC San Diego,EWB 2025 Fall GBM,10/02/2025 12:00 AM,Bear Room,$540.91,,5/20/2025 7:51:58 PM
23837,Vertical Flight Society @ UC San Diego,Vertical Flight Society GBM 1 + Meet the Organization,10/02/2025 12:00 AM,Price Center - Warren College Room,$172.94,,9/4/2025 12:19:26 AM
23878,Engineering Innovators & Entrepreneurs Club @UC San Diego,EIEC GBM 1,10/02/2025 12:00 AM,Price Center - Warren College Room,$246.59,,5/30/2025 10:14:32 AM
23922,Health and Medical Professions Preparation Program (HMP3),HMP3 Fall GBM,10/02/2025 12:00 AM,Price Center Forum,$696.27,,5/30/2025 4:23:50 PM
23950,American Institute of Aeronautics and Astronautics,GBM 1,10/02/2025 12:00 AM,Price Center - Black Legacy Mural Space,$199.10,,5/30/2025 8:43:10 PM
23972,Scripps Education Association,General Body Meeting 1,10/02/2025 12:00 AM,Vaughn 100,$300.00,,5/30/2025 10:13:18 PM
23975,NanoEngineering and Technology Society,NETS Fall Quarter GBM,10/02/2025 12:00 AM,SME 448,$397.34,,5/30/2025 10:19:57 PM
24005,Asian Business Association @ UC San Diego,ABA Kickoff: Introductions & Build Connections,10/02/2025 12:00 AM,Otterson Hall 1S113,$79.39,,10/1/2025 10:34:54 AM
24016,Association for Computing Machinery (ACM),Bit Byte Info Session,10/02/2025 12:00 AM,CSE 1202,$592.62,,5/30/2025 11:45:10 PM
24096,International Society for Pharmaceutical Engineers (ISPE),ISPE Fall GBM,10/02/2025 12:00 AM,Student Services Center (SSC) Conference Room 300,$91.32,,6/20/2025 11:42:21 PM
23936,Undergraduate Bioinformatics Club (UBIC),Fall Quarter GBM,10/02/2025 6:00 PM,Fung Auditorium (Powell-Focht Bioengineering Building),$288.29,,9/3/2025 10:16:24 PM
23739,Deejays and Vinylphiles Club,DVC Presents: Sun God Afterdark 2025,10/03/2025 12:00 AM,Sun God Lawn,"$3,587.40",,5/8/2025 9:49:47 PM
23746,Alpha Miracle Foundation (AMF) @ UC San Diego,Study Jam,10/03/2025 12:00 AM,Price Center - Red Shoe Room,$449.32,,5/15/2025 2:19:24 PM
23748,Anime & Manga Enthusiasts at UC San Diego,FA25 GBM 1,10/03/2025 12:00 AM,Stud. Services Center Multi Room,$210.00,,5/18/2025 12:08:23 PM
23773,Undergraduate Women in Computing at UC San Diego,WIC's Resume Reboot,10/03/2025 12:00 AM,Qualcomm,$398.67,,5/27/2025 5:18:48 PM
23774,Thai Student Union,TSU Fall GBM,10/03/2025 12:00 AM,Dolores Huerta,$281.23,,5/27/2025 5:44:04 PM
23823,Star Wars Club at UC San Diego,Star Wars Club Fall Kickoff 2025,10/03/2025 12:00 AM,Bear Room,$216.58,,5/29/2025 4:46:51 PM
23880,Quantum Computing at UC San Diego,Quantum Computing at UCSD GBM,10/03/2025 12:00 AM,Price Center Warren Room,$273.95,,5/30/2025 12:46:28 PM
23932,TEDx@UCSanDiego,TEDxUCSanDiego Information Session,10/03/2025 12:00 AM,Bear Room,$305.58,,5/30/2025 5:29:41 PM
23960,MIAC,MIAC's Welcome Back GBM,10/03/2025 12:00 AM,LGBT Resource Center Family Room,$85.45,,5/30/2025 9:56:08 PM
24000,Undergraduate Bioinformatics Club (UBIC),Freshman Mingle,10/03/2025 12:00 AM,Green Table Room,$212.27,,5/30/2025 11:28:54 PM
23737,Chinese Engineering Society,Dine with Senior,10/04/2025 12:00 AM,Student Center - Dolores Huerta - Philip Vera Cruz Room,$555.18,,5/7/2025 8:25:45 PM
23848,Cantonese Culture Club,Fall Quarter GBM,10/04/2025 12:00 AM,The Forum,$232.74,,5/29/2025 9:02:00 PM
23818,SangamSD,SangamSD Fall GBM,10/05/2025 12:00 AM,Student Services Center Multi,"$1,530.00",,5/30/2025 7:10:14 PM
23946,Project RISHI,Rishi Info Session,10/05/2025 12:00 AM,Price Center Green Room,$296.31,,5/30/2025 7:53:04 PM
24068,Tau Kappa Epsilon,Tau Kappa Epsilon Rush Event,10/05/2025 12:00 AM,Sun God Lawn,$784.42,,9/17/2025 12:23:21 PM
23799,Video Game Development Club (VGDC) at UC San Diego,Fall GBM,10/06/2025 12:00 AM,Multipurpose Room,"$1,124.50",,5/30/2025 7:47:47 PM
