FIN-ID #,ORGANIZATION,NAME OF EVENT,DATE,VENUE,AWARDED,TRANSACTION ID,UPDATED
17477,Ahlul-Bayt Student Association,ABSA Winter GBM,02/22/2023 12:00 AM,PC West Marshall Rm,$488.77,,1/22/2023 7:27:57 PM
17497,Ahlul-Bayt Student Association,ABSA Giveaway,03/02/2023 12:00 AM,PC West Bear Room,$498.50,,1/23/2023 2:44:11 PM
17557,Muslim Student Association,Pop Up Breakfast,03/14/2023 12:00 AM,Matthews Quad,$557.65,,2/7/2023 10:33:30 AM
17553,Muslim Student Association,Dawah Table,03/15/2023 12:00 AM,Library Walk,$145.19,,2/7/2023 10:34:14 AM
17554,Muslim Student Association,Fundraising Table,03/15/2023 12:00 AM,Library Walk,$140.59,,2/7/2023 10:36:06 AM
17558,Muslim Student Association,Bystander Training,03/16/2023 12:00 AM,Dolores Huerta,$896.65,,2/8/2023 8:11:02 PM
* 17597,Muslim Student Association,MSA Iftar,04/03/2023 12:00 AM,Multi-Purpose Room,"$2,320.80",,2/17/2023 10:25:47 PM
17592,Association for Computing Machinery (ACM),Spring Kickoff,04/04/2023 12:00 AM,PC East Ballroom,"$4,940.44",,2/27/2023 5:15:26 PM
17598,Muslim Student Association,MSA Iftar 4/4,04/04/2023 12:00 AM,PC West Ballroom,"$2,273.30",,2/27/2023 5:15:58 PM
17533,Theta Tau at UC San Diego,Theta Tau Engineering Night,04/05/2023 12:00 AM,PC West Theater,$121.86,,1/30/2023 2:50:21 PM
17546,American Chemical Society Student Affiliates (ACSSA),ACSSA Week 1 GBM,04/05/2023 12:00 AM,Natural Sciences Building,$896.92,,2/8/2023 8:13:45 PM
17590,Biomedical Engineering Society (BMES),Bioengineering Career Fair 2023,04/05/2023 12:00 AM,Powell-Focht Bioengineering Hall Fung Auditorium,$913.12,,2/27/2023 5:16:17 PM
17593,Association for Computing Machinery (ACM),Learn more about board!,04/05/2023 12:00 AM,PC West Earl Warren,$897.42,,2/27/2023 5:17:00 PM
17599,Project in a Box,PiB Spring GBM,04/05/2023 12:00 AM,EnVision,$498.34,,2/27/2023 5:17:19 PM
17537,Theta Tau at UC San Diego,Theta Tau Night,04/06/2023 12:00 AM,PC East Forum,$190.91,,1/30/2023 2:47:48 PM
17571,Ahlul-Bayt Student Association,ABSA Iftar,04/06/2023 12:00 AM,Huerta-Vera Cruz,$898.01,,2/14/2023 10:08:04 AM
17573,Beautiful Mind Project @ UC San Diego,Sheikh Jabir Lecture,04/06/2023 12:00 AM,Multipurpose Room,"$2,949.45",,2/14/2023 10:08:47 AM
17594,Association for Computing Machinery (ACM),Winter Projects Showcase,04/06/2023 12:00 AM,Henry Booker Room,$833.83,,2/27/2023 5:17:40 PM
17602,Pre-Medical APAMSA at UC San Diego,APAMSA GBM #1: Gap Year or No Gap Year?,04/06/2023 12:00 AM,Price Center West - Bear Room,$391.85,,2/27/2023 5:18:14 PM
17595,Deejays and Vinylphiles Club,DVC Presents: Spring Pool Party 2023,04/07/2023 12:00 AM,Canyonview Pool,"$5,947.04",,3/6/2023 2:10:15 PM
17606,Redeemer’s Grace Church on Campus at UC San Diego,RGC Doubt Night,04/07/2023 12:00 AM,Thurgood Marshall Room,$384.87,,2/27/2023 5:19:34 PM
17605,Indian Student Association,Holi 2023,04/08/2023 12:00 AM,Marshall Field,"$3,000.00",,2/27/2023 5:21:53 PM
18653,Indian Student Association,Holi 2023,04/08/2023 12:00 AM,Marshall Field,"$4,502.55",,3/13/2023 2:07:56 PM
