FIN-ID #,ORGANIZATION,NAME OF EVENT,DATE,VENUE,AWARDED,TRANSACTION ID,UPDATED
22735,Bangali Student Association,Pani Puri Event,01/03/2025 12:00 AM,Red Shoe Room,$500.00,,11/8/2024 7:14:40 PM
* 22732,Armenian Student Association,Armenian Christmas,01/06/2025 12:00 AM,Price Center - Red Shoe Room,$350.00,,11/8/2024 5:02:16 PM
22724,Muslim Student Association,GBM 1: Winter,01/06/2025 12:00 AM,PC Ballroom East,"$1,483.03",,11/6/2024 7:48:15 PM
22754,Boardgames and Boba @ UC San Diego,Board Game and Boba Winter Game Night # 1,01/06/2025 12:00 AM,Price Center Ballroom B,$641.03,,11/8/2024 9:27:03 PM
* 22755,Malaysian Student Association,MYSA GBM 2 Winter,01/07/2025 12:00 AM,Student Center - Dolores Huerta - Philip Vera Cruz Room,$400.00,,11/8/2024 11:44:05 PM
22736,Triton Engineering Student Council,Winter Engineers on the Green,01/07/2025 12:00 AM,"Warren Mall [1, 2, 3]","$4,000.00",,11/27/2024 5:02:38 AM
22761,Pakistani Student Association,PSA Trivia Night,01/07/2025 12:00 AM,Eleanor Roosevelt College Room,$37.66,,11/8/2024 11:10:44 PM
22722,Biomedical Engineering Society (BMES),BMES Winter GBM #1,01/08/2025 12:00 AM,Price Center Theater,$182.40,,11/7/2024 10:55:20 PM
22739,Project in a Box,PiB Winter GBM,01/08/2025 12:00 AM,EnVision,$300.00,,11/8/2024 1:29:21 AM
22741,Hidden Road Initiative,HRI Winter GBM,01/08/2025 12:00 AM,Price Center Red Shoe Room,$366.65,,11/8/2024 11:25:37 AM
22747,Muslim Tech Collaborative at UC San Diego,MTC Welcome-Back Social,01/08/2025 12:00 AM,MPR,$565.35,,11/8/2024 6:37:32 PM
22749,Video Game Development Club (VGDC) at UC San Diego,Winter GBM,01/08/2025 12:00 AM,CSE1202,$774.52,,11/8/2024 8:19:43 PM
22750,Mixed Student Union,New Year Identity Collage,01/08/2025 12:00 AM,Price Center ERC Room,$210.00,,11/8/2024 7:07:36 PM
22762,Association for Computing Machinery (ACM),Winter Kickoff,01/08/2025 12:00 AM,PC East Ballroom,"$1,038.23",,11/8/2024 11:11:53 PM
* 22753,American Institute of Chemical Engineers (AIChE),Bracelet Bash,01/09/2025 12:00 AM,SME 248,$189.61,,11/8/2024 8:29:08 PM
22718,Rubik's Cube Club,Rubik's Cube Club GBM,01/09/2025 12:00 AM,Student Center: Dolores Huerta / Philip Vera Cruz Meeting Room,$273.47,,10/31/2024 1:49:06 AM
22720,Ahlul-Bayt Student Association,ABSA Social,01/09/2025 12:00 AM,Red Shoe Room,$398.88,,11/2/2024 1:53:21 PM
22721,Pre-Medical APAMSA at UC San Diego,GBM #1: Med App Escape Room,01/09/2025 12:00 AM,Price Center - Bear Room,$323.84,,11/4/2024 6:46:07 PM
22733,Undergraduate Bioinformatics Club (UBIC),Winter GBM,01/09/2025 12:00 AM,Fung auditorium,$371.80,,11/7/2024 1:30:36 PM
22748,Iraqi Student Association,Dominoes Championship,01/09/2025 12:00 AM,Price Center - Eleanor Roosevelt College Room,$500.00,,11/8/2024 6:39:27 PM
22763,Institute of Electrical and Electronics Engineers (IEEE),IEEE Winter GBM,01/09/2025 12:00 AM,Price Center East Ballroom,$600.00,,11/8/2024 11:18:54 PM
22764,Association for Computing Machinery (ACM),Fall Projects Showcase,01/09/2025 12:00 AM,Qualcomm Room,$259.57,,11/8/2024 11:36:38 PM
22723,Thai Student Union,TSU Winter GBM,01/10/2025 12:00 AM,Price Center Bear Room,$210.00,,11/7/2024 12:06:14 PM
22740,Institute of Electrical and Electronics Engineers (IEEE),IEEE Game Night,01/10/2025 12:00 AM,"UCSD Game Room, Price Center",$210.65,,11/8/2024 10:10:55 AM
22745,Cantonese Culture Club,Cantonese Culture Club Social Night,01/10/2025 12:00 AM,Price Center Forum,$149.54,,11/8/2024 6:22:21 PM
22752,Tau Beta Pi,TBP Winter General Body Meeting,01/10/2025 12:00 AM,Qualcomm Conference Center,$386.30,,11/8/2024 7:20:45 PM
22756,Triton Gaming,Triton Gaming Winter GBM,01/10/2025 12:00 AM,Design and Innovation Building Room 208,$319.76,,11/8/2024 9:54:50 PM
